[22:58:48] port 10: pod8, UPCALL packets:213 errors:0
[22:58:49] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:49] port 1: br-int, UPCALL packets:0 errors:0
[22:58:49] port 2: ens16f1np1, UPCALL packets:1881348 errors:1545
[22:58:49] port 3: pod1, UPCALL packets:121 errors:0
[22:58:49] port 4: pod2, UPCALL packets:78 errors:0
[22:58:49] port 5: pod3, UPCALL packets:141 errors:0
[22:58:49] port 6: pod4, UPCALL packets:169 errors:0
[22:58:49] port 7: pod5, UPCALL packets:179 errors:0
[22:58:49] port 8: pod6, UPCALL packets:380 errors:0
[22:58:49] port 9: pod7, UPCALL packets:340 errors:0
[22:58:49] port 10: pod8, UPCALL packets:213 errors:0
[22:58:50] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:50] port 1: br-int, UPCALL packets:0 errors:0
[22:58:50] port 2: ens16f1np1, UPCALL packets:1937954 errors:2196
[22:58:50] port 3: pod1, UPCALL packets:121 errors:0
[22:58:50] port 4: pod2, UPCALL packets:78 errors:0
[22:58:50] port 5: pod3, UPCALL packets:141 errors:0
[22:58:50] port 6: pod4, UPCALL packets:170 errors:0
[22:58:50] port 7: pod5, UPCALL packets:179 errors:0
[22:58:50] port 8: pod6, UPCALL packets:380 errors:0
[22:58:50] port 9: pod7, UPCALL packets:340 errors:0
[22:58:50] port 10: pod8, UPCALL packets:213 errors:0
[22:58:51] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:51] port 1: br-int, UPCALL packets:0 errors:0
[22:58:51] port 2: ens16f1np1, UPCALL packets:1981294 errors:2196
[22:58:51] port 3: pod1, UPCALL packets:121 errors:0
[22:58:51] port 4: pod2, UPCALL packets:78 errors:0
[22:58:51] port 5: pod3, UPCALL packets:141 errors:0
[22:58:51] port 6: pod4, UPCALL packets:170 errors:0
[22:58:51] port 7: pod5, UPCALL packets:179 errors:0
[22:58:51] port 8: pod6, UPCALL packets:380 errors:0
[22:58:51] port 9: pod7, UPCALL packets:340 errors:0
[22:58:51] port 10: pod8, UPCALL packets:213 errors:0
[22:58:52] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:52] port 1: br-int, UPCALL packets:0 errors:0
[22:58:52] port 2: ens16f1np1, UPCALL packets:2027460 errors:2196
[22:58:52] port 3: pod1, UPCALL packets:121 errors:0
[22:58:52] port 4: pod2, UPCALL packets:78 errors:0
[22:58:52] port 5: pod3, UPCALL packets:141 errors:0
[22:58:52] port 6: pod4, UPCALL packets:170 errors:0
[22:58:52] port 7: pod5, UPCALL packets:192 errors:0
[22:58:52] port 8: pod6, UPCALL packets:380 errors:0
[22:58:52] port 9: pod7, UPCALL packets:340 errors:0
[22:58:52] port 10: pod8, UPCALL packets:213 errors:0
[22:58:53] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:53] port 1: br-int, UPCALL packets:0 errors:0
[22:58:53] port 2: ens16f1np1, UPCALL packets:2078672 errors:2196
[22:58:53] port 3: pod1, UPCALL packets:121 errors:0
[22:58:53] port 4: pod2, UPCALL packets:78 errors:0
[22:58:53] port 5: pod3, UPCALL packets:141 errors:0
[22:58:53] port 6: pod4, UPCALL packets:170 errors:0
[22:58:53] port 7: pod5, UPCALL packets:192 errors:0
[22:58:53] port 8: pod6, UPCALL packets:380 errors:0
[22:58:53] port 9: pod7, UPCALL packets:340 errors:0
[22:58:53] port 10: pod8, UPCALL packets:213 errors:0
[22:58:54] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:54] port 1: br-int, UPCALL packets:0 errors:0
[22:58:54] port 2: ens16f1np1, UPCALL packets:2128128 errors:2196
[22:58:54] port 3: pod1, UPCALL packets:121 errors:0
[22:58:54] port 4: pod2, UPCALL packets:78 errors:0
[22:58:54] port 5: pod3, UPCALL packets:141 errors:0
[22:58:54] port 6: pod4, UPCALL packets:170 errors:0
[22:58:54] port 7: pod5, UPCALL packets:192 errors:0
[22:58:54] port 8: pod6, UPCALL packets:380 errors:0
[22:58:54] port 9: pod7, UPCALL packets:341 errors:0
[22:58:54] port 10: pod8, UPCALL packets:213 errors:0
[22:58:55] port 0: ovs-system, UPCALL packets:106455 errors:39550
[22:58:55] port 1: br-int, UPCALL packets:0 errors:0
[22:58:55] port 2: ens16f1np1, UPCALL packets:2170640 errors:5483
[22:58:55] port 3: pod1, UPCALL packets:121 errors:0
[22:58:55] port 4: pod2, UPCALL packets:78 errors:0
[22:58:55] port 5: pod3, UPCALL packets:141 errors:0
[22:58:55] port 6: pod4, UPCALL packets:170 errors:0
[22:58:55] port 7: pod5, UPCALL packets:192 errors:0
[22:58:55] port 8: pod6, UPCALL packets:380 errors:0
[22:58:55] port 9: pod7, UPCALL packets:341 errors:0
[22:58:55] port 10: pod8, UPCALL packets:213 errors:0
[22:58:56] port 0: ovs-system, UPCALL packets:106455 errors:39550
