Linux 5.14.0-427.el9.x86_64 (centos) 	06/27/2024 	_x86_64_	(16 CPU)

12:04:20 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:29 AM    4   50.00    0.00   22.00    0.00    1.00    9.00    0.00    0.00    0.00   18.00
12:04:29 AM    5   57.00    0.00   25.00    0.00    1.00   10.00    0.00    0.00    0.00    7.00
12:04:29 AM    6   50.50    0.00   24.75    0.00    0.99    7.92    0.00    0.00    0.00   15.84
12:04:29 AM    7   49.50    0.00   20.79    0.00    0.00   10.89    0.00    0.00    0.00   18.81
12:04:29 AM    8   51.49    0.00   19.80    0.00    0.99    8.91    0.00    0.00    0.00   18.81
12:04:29 AM    9   57.00    0.00   26.00    0.00    1.00    8.00    0.00    0.00    0.00    8.00
12:04:29 AM   10   49.00    0.00   23.00    0.00    1.00   11.00    0.00    0.00    0.00   16.00
12:04:29 AM   11   49.49    0.00   20.20    0.00    1.01   12.12    0.00    0.00    0.00   17.17
12:04:29 AM   12   54.55    0.00   26.26    0.00    1.01   11.11    0.00    0.00    0.00    7.07
12:04:29 AM   13   50.00    0.00   21.57    0.00    0.00   10.78    0.00    0.00    0.00   17.65
12:04:29 AM   14   53.00    0.00   21.00    0.00    0.00    8.00    0.00    0.00    0.00   18.00
12:04:29 AM   15   58.00    0.00   25.00    0.00    1.00   10.00    0.00    0.00    0.00    6.00

12:04:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:30 AM  all   52.42    0.00   21.56    0.00    0.13   10.12    0.00    0.00    0.00   15.78
12:04:30 AM    0   53.47    0.00   17.82    0.00    0.00    9.90    0.00    0.00    0.00   18.81
12:04:30 AM    1   51.52    0.00   21.21    0.00    0.00   11.11    0.00    0.00    0.00   16.16
12:04:30 AM    2   46.00    0.00   19.00    0.00    0.00    7.00    0.00    0.00    0.00   28.00
12:04:30 AM    3   45.45    0.00   17.17    0.00    0.00   12.12    0.00    0.00    0.00   25.25
12:04:30 AM    4   56.57    0.00   22.22    0.00    0.00   10.10    0.00    0.00    0.00   11.11
12:04:30 AM    5   57.58    0.00   25.25    0.00    0.00   11.11    0.00    0.00    0.00    6.06
12:04:30 AM    6   49.49    0.00   22.22    0.00    0.00    9.09    0.00    0.00    0.00   19.19
12:04:30 AM    7   47.47    0.00   21.21    0.00    1.01   10.10    0.00    0.00    0.00   20.20
12:04:30 AM    8   50.00    0.00   21.00    0.00    0.00    9.00    0.00    0.00    0.00   20.00
12:04:30 AM    9   57.58    0.00   24.24    0.00    0.00   10.10    0.00    0.00    0.00    8.08
12:04:30 AM   10   50.51    0.00   21.21    0.00    0.00   13.13    0.00    0.00    0.00   15.15
12:04:30 AM   11   55.00    0.00   19.00    0.00    0.00   10.00    0.00    0.00    0.00   16.00
12:04:30 AM   12   54.46    0.00   25.74    0.00    0.00    8.91    0.00    0.00    0.00   10.89
12:04:30 AM   13   50.51    0.00   21.21    0.00    0.00    9.09    0.00    0.00    0.00   19.19
12:04:30 AM   14   56.00    0.00   22.00    0.00    1.00   10.00    0.00    0.00    0.00   11.00
12:04:30 AM   15   57.14    0.00   24.49    0.00    0.00   11.22    0.00    0.00    0.00    7.14

12:04:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:04:31 AM  all   52.13    0.00   20.96    0.00    0.56   10.20    0.06    0.00    0.00   16.08
12:04:31 AM    0   52.00    0.00   20.00    0.00    1.00    9.00    0.00    0.00    0.00   18.00
12:04:31 AM    1   50.50    0.00   20.79    0.00    0.99    7.92    0.00    0.00    0.00   19.80
12:04:31 AM    2   50.00    0.00   21.00    0.00    0.00   11.00    0.00    0.00    0.00   18.00
12:04:31 AM    3   57.14    0.00   19.39    0.00    0.00    9.18    0.00    0.00    0.00   14.29
12:04:31 AM    4   51.00    0.00   16.00    0.00    0.00   13.00    0.00    0.00    0.00   20.00
12:04:31 AM    5   56.44    0.00   25.74    0.00    0.99    9.90    0.00    0.00    0.00    6.93
12:04:31 AM    6   49.00    0.00   19.00    0.00    1.00   11.00    0.00    0.00    0.00   20.00
12:04:31 AM    7   49.49    0.00   19.19    0.00    0.00   12.12    0.00    0.00    0.00   19.19
12:04:31 AM    8   48.00    0.00   20.00    0.00    1.00   10.00    0.00    0.00    0.00   21.00
